Reference, Value, Footprint, Datasheet, Part, Family
P5,USB_Micro_B,kerikun11:USB_Micro_B_smd,
F1,FEMTOSMDC035F,Resistors_SMD:R_0603,
C2,1u,Capacitors_SMD:C_0603,
C3,0.1u,Capacitors_SMD:C_0603,
C4,47u,Capacitors_SMD:C_1206,
SD1,Micro_SD,conn-io:HIROSE-MICROSD-DM3AT-SF,,-,Connector
SW1,GPIO0,Buttons_Switches_SMD:SW_SPST_KMR2,
SW2,RESET,Buttons_Switches_SMD:SW_SPST_KMR2,
R1,10k,Resistors_SMD:R_0603,
P1,GPIO_0-19,Socket_Strips:Socket_Strip_Straight_1x20,
P2,GPIO_21-27,Socket_Strips:Socket_Strip_Straight_1x06,
P3,GPIO_32-39,Socket_Strips:Socket_Strip_Straight_1x06,
P7,Power,Socket_Strips:Socket_Strip_Straight_1x03,
D1,Power,LEDs:LED_0603,
R4,1k,Resistors_SMD:R_0603,
C5,0.1u,Capacitors_SMD:C_0603,
JP1,RXD,Pin_Headers:Pin_Header_Straight_2x01,
JP2,TXD,Pin_Headers:Pin_Header_Straight_2x01,
U1,ESP-WROOM-32,kerikun11:ESP-WROOM-32,
P4,SD_DETECT,Socket_Strips:Socket_Strip_Straight_1x01,
P6,GND,Socket_Strips:Socket_Strip_Straight_1x04,
U3,NJM2391,TO_SOT_Packages_SMD:TO-252-2Lead,
U2,FT232RL,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,
D2,RX,LEDs:LED_0603,
R2,1k,Resistors_SMD:R_0603,
R3,1k,Resistors_SMD:R_0603,
D3,TX,LEDs:LED_0603,
C1,0.1u,Capacitors_SMD:C_0603,
R5,1k,Resistors_SMD:R_0603,
D4,LED,LEDs:LED_0603,
